ECM Glycoproteins	Collagens	Proteoglycans	ECM-affiliated Proteins	ECM Regulators	Secreted Factors
CD109	0.001	0.001	0.001	0.001	1	0.001
CELA1	0.001	0.001	0.001	0.001	1	0.001
CELA2A	0.001	0.001	0.001	0.001	1	0.001
CELA2B	0.001	0.001	0.001	0.001	1	0.001
CELA3A	0.001	0.001	0.001	0.001	1	0.001
CELA3B	0.001	0.001	0.001	0.001	1	0.001
CPAMD8	0.001	0.001	0.001	0.001	1	0.001
CPN2	0.001	0.001	0.001	0.001	1	0.001
CST1	0.001	0.001	0.001	0.001	1	0.001
CST11	0.001	0.001	0.001	0.001	1	0.001
CST2	0.001	0.001	0.001	0.001	1	0.001
CST3	0.001	0.001	0.001	0.001	1	0.001
CST4	0.001	0.001	0.001	0.001	1	0.001
CST5	0.001	0.001	0.001	0.001	1	0.001
CST6	0.001	0.001	0.001	0.001	1	0.001
CST7	0.001	0.001	0.001	0.001	1	0.001
CST8	0.001	0.001	0.001	0.001	1	0.001
CST9	0.001	0.001	0.001	0.001	1	0.001
CST9L	0.001	0.001	0.001	0.001	1	0.001
CSTA	0.001	0.001	0.001	0.001	1	0.001
CSTB	0.001	0.001	0.001	0.001	1	0.001
CSTL1	0.001	0.001	0.001	0.001	1	0.001
CTSA	0.001	0.001	0.001	0.001	1	0.001
CTSB	0.001	0.001	0.001	0.001	1	0.001
CTSC	0.001	0.001	0.001	0.001	1	0.001
CTSD	0.001	0.001	0.001	0.001	1	0.001
CTSE	0.001	0.001	0.001	0.001	1	0.001
CTSF	0.001	0.001	0.001	0.001	1	0.001
CTSG	0.001	0.001	0.001	0.001	1	0.001
CTSH	0.001	0.001	0.001	0.001	1	0.001
CTSK	0.001	0.001	0.001	0.001	1	0.001
CTSL	0.001	0.001	0.001	0.001	1	0.001
CTSO	0.001	0.001	0.001	0.001	1	0.001
CTSS	0.001	0.001	0.001	0.001	1	0.001
CTSV	0.001	0.001	0.001	0.001	1	0.001
CTSW	0.001	0.001	0.001	0.001	1	0.001
CTSZ	0.001	0.001	0.001	0.001	1	0.001
EGLN1	0.001	0.001	0.001	0.001	1	0.001
EGLN2	0.001	0.001	0.001	0.001	1	0.001
EGLN3	0.001	0.001	0.001	0.001	1	0.001
ELANE	0.001	0.001	0.001	0.001	1	0.001
F10	0.001	0.001	0.001	0.001	1	0.001
F12	0.001	0.001	0.001	0.001	1	0.001
F13A1	0.001	0.001	0.001	0.001	1	0.001
F13B	0.001	0.001	0.001	0.001	1	0.001
F2	0.001	0.001	0.001	0.001	1	0.001
F7	0.001	0.001	0.001	0.001	1	0.001
F9	0.001	0.001	0.001	0.001	1	0.001
FAM20A	0.001	0.001	0.001	0.001	1	0.001
FAM20B	0.001	0.001	0.001	0.001	1	0.001
FAM20C	0.001	0.001	0.001	0.001	1	0.001
HABP2	0.001	0.001	0.001	0.001	1	0.001
HMSD	0.001	0.001	0.001	0.001	1	0.001
HPSE	0.001	0.001	0.001	0.001	1	0.001
HPSE2	0.001	0.001	0.001	0.001	1	0.001
HRG	0.001	0.001	0.001	0.001	1	0.001
HTRA1	0.001	0.001	0.001	0.001	1	0.001
HTRA3	0.001	0.001	0.001	0.001	1	0.001
HTRA4	0.001	0.001	0.001	0.001	1	0.001
HYAL1	0.001	0.001	0.001	0.001	1	0.001
HYAL2	0.001	0.001	0.001	0.001	1	0.001
HYAL3	0.001	0.001	0.001	0.001	1	0.001
HYAL4	0.001	0.001	0.001	0.001	1	0.001
ITIH1	0.001	0.001	0.001	0.001	1	0.001
ITIH2	0.001	0.001	0.001	0.001	1	0.001
ITIH3	0.001	0.001	0.001	0.001	1	0.001
ITIH4	0.001	0.001	0.001	0.001	1	0.001
ITIH5	0.001	0.001	0.001	0.001	1	0.001
ITIH6	0.001	0.001	0.001	0.001	1	0.001
KAZALD1	0.001	0.001	0.001	0.001	1	0.001
KNG1	0.001	0.001	0.001	0.001	1	0.001
KY	0.001	0.001	0.001	0.001	1	0.001
LEPRE1	0.001	0.001	0.001	0.001	1	0.001
LEPREL1	0.001	0.001	0.001	0.001	1	0.001
LEPREL2	0.001	0.001	0.001	0.001	1	0.001
LOX	0.001	0.001	0.001	0.001	1	0.001
LOXL1	0.001	0.001	0.001	0.001	1	0.001
LOXL2	0.001	0.001	0.001	0.001	1	0.001
LOXL3	0.001	0.001	0.001	0.001	1	0.001
LOXL4	0.001	0.001	0.001	0.001	1	0.001
LPA	0.001	0.001	0.001	0.001	1	0.001
MASP1	0.001	0.001	0.001	0.001	1	0.001
MASP2	0.001	0.001	0.001	0.001	1	0.001
MEP1A	0.001	0.001	0.001	0.001	1	0.001
MEP1B	0.001	0.001	0.001	0.001	1	0.001
MMP1	0.001	0.001	0.001	0.001	1	0.001
MMP10	0.001	0.001	0.001	0.001	1	0.001
MMP11	0.001	0.001	0.001	0.001	1	0.001
MMP12	0.001	0.001	0.001	0.001	1	0.001
MMP13	0.001	0.001	0.001	0.001	1	0.001
MMP14	0.001	0.001	0.001	0.001	1	0.001
MMP15	0.001	0.001	0.001	0.001	1	0.001
MMP16	0.001	0.001	0.001	0.001	1	0.001
MMP17	0.001	0.001	0.001	0.001	1	0.001
MMP19	0.001	0.001	0.001	0.001	1	0.001
MMP2	0.001	0.001	0.001	0.001	1	0.001
MMP20	0.001	0.001	0.001	0.001	1	0.001
MMP21	0.001	0.001	0.001	0.001	1	0.001
MMP23B	0.001	0.001	0.001	0.001	1	0.001
MMP24	0.001	0.001	0.001	0.001	1	0.001
MMP25	0.001	0.001	0.001	0.001	1	0.001
MMP26	0.001	0.001	0.001	0.001	1	0.001
MMP27	0.001	0.001	0.001	0.001	1	0.001
MMP28	0.001	0.001	0.001	0.001	1	0.001
MMP3	0.001	0.001	0.001	0.001	1	0.001
MMP7	0.001	0.001	0.001	0.001	1	0.001
MMP8	0.001	0.001	0.001	0.001	1	0.001
MMP9	0.001	0.001	0.001	0.001	1	0.001
NGLY1	0.001	0.001	0.001	0.001	1	0.001
OGFOD1	0.001	0.001	0.001	0.001	1	0.001
OGFOD2	0.001	0.001	0.001	0.001	1	0.001
P4HA1	0.001	0.001	0.001	0.001	1	0.001
P4HA2	0.001	0.001	0.001	0.001	1	0.001
P4HA3	0.001	0.001	0.001	0.001	1	0.001
P4HTM	0.001	0.001	0.001	0.001	1	0.001
PAMR1	0.001	0.001	0.001	0.001	1	0.001
PAPPA	0.001	0.001	0.001	0.001	1	0.001
PAPPA2	0.001	0.001	0.001	0.001	1	0.001
PCSK5	0.001	0.001	0.001	0.001	1	0.001
PCSK6	0.001	0.001	0.001	0.001	1	0.001
PI3	0.001	0.001	0.001	0.001	1	0.001
PLAT	0.001	0.001	0.001	0.001	1	0.001
PLAU	0.001	0.001	0.001	0.001	1	0.001
PLG	0.001	0.001	0.001	0.001	1	0.001
PLOD1	0.001	0.001	0.001	0.001	1	0.001
PLOD2	0.001	0.001	0.001	0.001	1	0.001
PLOD3	0.001	0.001	0.001	0.001	1	0.001
PRSS1	0.001	0.001	0.001	0.001	1	0.001
PRSS12	0.001	0.001	0.001	0.001	1	0.001
PRSS2	0.001	0.001	0.001	0.001	1	0.001
PRSS3	0.001	0.001	0.001	0.001	1	0.001
PZP	0.001	0.001	0.001	0.001	1	0.001
SERPINA1	0.001	0.001	0.001	0.001	1	0.001
SERPINA10	0.001	0.001	0.001	0.001	1	0.001
SERPINA11	0.001	0.001	0.001	0.001	1	0.001
SERPINA12	0.001	0.001	0.001	0.001	1	0.001
SERPINA2	0.001	0.001	0.001	0.001	1	0.001
SERPINA3	0.001	0.001	0.001	0.001	1	0.001
SERPINA4	0.001	0.001	0.001	0.001	1	0.001
SERPINA5	0.001	0.001	0.001	0.001	1	0.001
SERPINA6	0.001	0.001	0.001	0.001	1	0.001
SERPINA7	0.001	0.001	0.001	0.001	1	0.001
SERPINA9	0.001	0.001	0.001	0.001	1	0.001
SERPINB1	0.001	0.001	0.001	0.001	1	0.001
SERPINB10	0.001	0.001	0.001	0.001	1	0.001
SERPINB11	0.001	0.001	0.001	0.001	1	0.001
SERPINB12	0.001	0.001	0.001	0.001	1	0.001
SERPINB13	0.001	0.001	0.001	0.001	1	0.001
SERPINB2	0.001	0.001	0.001	0.001	1	0.001
SERPINB3	0.001	0.001	0.001	0.001	1	0.001
SERPINB4	0.001	0.001	0.001	0.001	1	0.001
SERPINB5	0.001	0.001	0.001	0.001	1	0.001
SERPINB6	0.001	0.001	0.001	0.001	1	0.001
SERPINB7	0.001	0.001	0.001	0.001	1	0.001
SERPINB8	0.001	0.001	0.001	0.001	1	0.001
SERPINB9	0.001	0.001	0.001	0.001	1	0.001
SERPINC1	0.001	0.001	0.001	0.001	1	0.001
SERPIND1	0.001	0.001	0.001	0.001	1	0.001
SERPINE1	0.001	0.001	0.001	0.001	1	0.001
SERPINE2	0.001	0.001	0.001	0.001	1	0.001
SERPINE3	0.001	0.001	0.001	0.001	1	0.001
SERPINF1	0.001	0.001	0.001	0.001	1	0.001
SERPINF2	0.001	0.001	0.001	0.001	1	0.001
SERPING1	0.001	0.001	0.001	0.001	1	0.001
SERPINH1	0.001	0.001	0.001	0.001	1	0.001
SERPINI1	0.001	0.001	0.001	0.001	1	0.001
SERPINI2	0.001	0.001	0.001	0.001	1	0.001
SLPI	0.001	0.001	0.001	0.001	1	0.001
SPAM1	0.001	0.001	0.001	0.001	1	0.001
ST14	0.001	0.001	0.001	0.001	1	0.001
SULF1	0.001	0.001	0.001	0.001	1	0.001
SULF2	0.001	0.001	0.001	0.001	1	0.001
TGM1	0.001	0.001	0.001	0.001	1	0.001
TGM2	0.001	0.001	0.001	0.001	1	0.001
TGM3	0.001	0.001	0.001	0.001	1	0.001
TGM4	0.001	0.001	0.001	0.001	1	0.001
TGM5	0.001	0.001	0.001	0.001	1	0.001
TGM6	0.001	0.001	0.001	0.001	1	0.001
TGM7	0.001	0.001	0.001	0.001	1	0.001
TIMP1	0.001	0.001	0.001	0.001	1	0.001
TIMP2	0.001	0.001	0.001	0.001	1	0.001
TIMP3	0.001	0.001	0.001	0.001	1	0.001
TIMP4	0.001	0.001	0.001	0.001	1	0.001
TLL1	0.001	0.001	0.001	0.001	1	0.001
TLL2	0.001	0.001	0.001	0.001	1	0.001
TMPRSS15	0.001	0.001	0.001	0.001	1	0.001
AMH	0.001	0.001	0.001	0.001	0.001	1
ANGPT1	0.001	0.001	0.001	0.001	0.001	1
ANGPT2	0.001	0.001	0.001	0.001	0.001	1
ANGPT4	0.001	0.001	0.001	0.001	0.001	1
ANGPTL1	0.001	0.001	0.001	0.001	0.001	1
ANGPTL2	0.001	0.001	0.001	0.001	0.001	1
ANGPTL3	0.001	0.001	0.001	0.001	0.001	1
ANGPTL4	0.001	0.001	0.001	0.001	0.001	1
ANGPTL5	0.001	0.001	0.001	0.001	0.001	1
ANGPTL6	0.001	0.001	0.001	0.001	0.001	1
ANGPTL7	0.001	0.001	0.001	0.001	0.001	1
AREG	0.001	0.001	0.001	0.001	0.001	1
ARTN	0.001	0.001	0.001	0.001	0.001	1
BDNF	0.001	0.001	0.001	0.001	0.001	1
BMP10	0.001	0.001	0.001	0.001	0.001	1
BMP15	0.001	0.001	0.001	0.001	0.001	1
BMP2	0.001	0.001	0.001	0.001	0.001	1
BMP3	0.001	0.001	0.001	0.001	0.001	1
BMP4	0.001	0.001	0.001	0.001	0.001	1
BMP5	0.001	0.001	0.001	0.001	0.001	1
BMP6	0.001	0.001	0.001	0.001	0.001	1
BMP7	0.001	0.001	0.001	0.001	0.001	1
BMP8A	0.001	0.001	0.001	0.001	0.001	1
BMP8B	0.001	0.001	0.001	0.001	0.001	1
BRINP2	0.001	0.001	0.001	0.001	0.001	1
BRINP3	0.001	0.001	0.001	0.001	0.001	1
BTC	0.001	0.001	0.001	0.001	0.001	1
C1QTNF9B	0.001	0.001	0.001	0.001	0.001	1
CBLN1	0.001	0.001	0.001	0.001	0.001	1
CBLN2	0.001	0.001	0.001	0.001	0.001	1
CBLN3	0.001	0.001	0.001	0.001	0.001	1
CBLN4	0.001	0.001	0.001	0.001	0.001	1
CCBE1	0.001	0.001	0.001	0.001	0.001	1
CCL1	0.001	0.001	0.001	0.001	0.001	1
CCL11	0.001	0.001	0.001	0.001	0.001	1
CCL13	0.001	0.001	0.001	0.001	0.001	1
CCL14	0.001	0.001	0.001	0.001	0.001	1
CCL15	0.001	0.001	0.001	0.001	0.001	1
CCL16	0.001	0.001	0.001	0.001	0.001	1
CCL17	0.001	0.001	0.001	0.001	0.001	1
CCL18	0.001	0.001	0.001	0.001	0.001	1
CCL19	0.001	0.001	0.001	0.001	0.001	1
CCL2	0.001	0.001	0.001	0.001	0.001	1
CCL20	0.001	0.001	0.001	0.001	0.001	1
CCL21	0.001	0.001	0.001	0.001	0.001	1
CCL22	0.001	0.001	0.001	0.001	0.001	1
CCL23	0.001	0.001	0.001	0.001	0.001	1
CCL24	0.001	0.001	0.001	0.001	0.001	1
CCL25	0.001	0.001	0.001	0.001	0.001	1
CCL26	0.001	0.001	0.001	0.001	0.001	1
CCL27	0.001	0.001	0.001	0.001	0.001	1
CCL28	0.001	0.001	0.001	0.001	0.001	1
CCL3	0.001	0.001	0.001	0.001	0.001	1
CCL3L3	0.001	0.001	0.001	0.001	0.001	1
CCL4	0.001	0.001	0.001	0.001	0.001	1
CCL4L1	0.001	0.001	0.001	0.001	0.001	1
CCL4L2	0.001	0.001	0.001	0.001	0.001	1
CCL5	0.001	0.001	0.001	0.001	0.001	1
CCL7	0.001	0.001	0.001	0.001	0.001	1
CCL8	0.001	0.001	0.001	0.001	0.001	1
CFC1	0.001	0.001	0.001	0.001	0.001	1
CFC1B	0.001	0.001	0.001	0.001	0.001	1
CHRD	0.001	0.001	0.001	0.001	0.001	1
CHRDL1	0.001	0.001	0.001	0.001	0.001	1
CHRDL2	0.001	0.001	0.001	0.001	0.001	1
CLCF1	0.001	0.001	0.001	0.001	0.001	1
CNTF	0.001	0.001	0.001	0.001	0.001	1
CRHBP	0.001	0.001	0.001	0.001	0.001	1
CRLF1	0.001	0.001	0.001	0.001	0.001	1
CRLF3	0.001	0.001	0.001	0.001	0.001	1
CRNN	0.001	0.001	0.001	0.001	0.001	1
CSF1	0.001	0.001	0.001	0.001	0.001	1
CSF2	0.001	0.001	0.001	0.001	0.001	1
CSF3	0.001	0.001	0.001	0.001	0.001	1
CSH1	0.001	0.001	0.001	0.001	0.001	1
CSH2	0.001	0.001	0.001	0.001	0.001	1
CSHL1	0.001	0.001	0.001	0.001	0.001	1
CTF1	0.001	0.001	0.001	0.001	0.001	1
CX3CL1	0.001	0.001	0.001	0.001	0.001	1
CXCL1	0.001	0.001	0.001	0.001	0.001	1
CXCL10	0.001	0.001	0.001	0.001	0.001	1
CXCL11	0.001	0.001	0.001	0.001	0.001	1
CXCL12	0.001	0.001	0.001	0.001	0.001	1
CXCL13	0.001	0.001	0.001	0.001	0.001	1
CXCL14	0.001	0.001	0.001	0.001	0.001	1
CXCL2	0.001	0.001	0.001	0.001	0.001	1
CXCL3	0.001	0.001	0.001	0.001	0.001	1
CXCL5	0.001	0.001	0.001	0.001	0.001	1
CXCL6	0.001	0.001	0.001	0.001	0.001	1
CXCL8	0.001	0.001	0.001	0.001	0.001	1
CXCL9	0.001	0.001	0.001	0.001	0.001	1
DHH	0.001	0.001	0.001	0.001	0.001	1
EBI3	0.001	0.001	0.001	0.001	0.001	1
EDA	0.001	0.001	0.001	0.001	0.001	1
EGF	0.001	0.001	0.001	0.001	0.001	1
EGFL6	0.001	0.001	0.001	0.001	0.001	1
EGFL7	0.001	0.001	0.001	0.001	0.001	1
EGFL8	0.001	0.001	0.001	0.001	0.001	1
EPGN	0.001	0.001	0.001	0.001	0.001	1
EPO	0.001	0.001	0.001	0.001	0.001	1
EREG	0.001	0.001	0.001	0.001	0.001	1
FASLG	0.001	0.001	0.001	0.001	0.001	1
FGF1	0.001	0.001	0.001	0.001	0.001	1
FGF10	0.001	0.001	0.001	0.001	0.001	1
FGF11	0.001	0.001	0.001	0.001	0.001	1
FGF12	0.001	0.001	0.001	0.001	0.001	1
FGF13	0.001	0.001	0.001	0.001	0.001	1
FGF14	0.001	0.001	0.001	0.001	0.001	1
FGF16	0.001	0.001	0.001	0.001	0.001	1
FGF17	0.001	0.001	0.001	0.001	0.001	1
FGF18	0.001	0.001	0.001	0.001	0.001	1
FGF19	0.001	0.001	0.001	0.001	0.001	1
FGF2	0.001	0.001	0.001	0.001	0.001	1
FGF20	0.001	0.001	0.001	0.001	0.001	1
FGF21	0.001	0.001	0.001	0.001	0.001	1
FGF22	0.001	0.001	0.001	0.001	0.001	1
FGF23	0.001	0.001	0.001	0.001	0.001	1
FGF3	0.001	0.001	0.001	0.001	0.001	1
FGF4	0.001	0.001	0.001	0.001	0.001	1
FGF5	0.001	0.001	0.001	0.001	0.001	1
FGF6	0.001	0.001	0.001	0.001	0.001	1
FGF7	0.001	0.001	0.001	0.001	0.001	1
FGF8	0.001	0.001	0.001	0.001	0.001	1
FGF9	0.001	0.001	0.001	0.001	0.001	1
FGFBP1	0.001	0.001	0.001	0.001	0.001	1
FGFBP2	0.001	0.001	0.001	0.001	0.001	1
FGFBP3	0.001	0.001	0.001	0.001	0.001	1
FIGF	0.001	0.001	0.001	0.001	0.001	1
FLG	0.001	0.001	0.001	0.001	0.001	1
FLG2	0.001	0.001	0.001	0.001	0.001	1
FLT3LG	0.001	0.001	0.001	0.001	0.001	1
FRZB	0.001	0.001	0.001	0.001	0.001	1
FST	0.001	0.001	0.001	0.001	0.001	1
FSTL1	0.001	0.001	0.001	0.001	0.001	1
FSTL3	0.001	0.001	0.001	0.001	0.001	1
GDF1	0.001	0.001	0.001	0.001	0.001	1
GDF10	0.001	0.001	0.001	0.001	0.001	1
GDF11	0.001	0.001	0.001	0.001	0.001	1
GDF15	0.001	0.001	0.001	0.001	0.001	1
GDF2	0.001	0.001	0.001	0.001	0.001	1
GDF3	0.001	0.001	0.001	0.001	0.001	1
GDF5	0.001	0.001	0.001	0.001	0.001	1
GDF6	0.001	0.001	0.001	0.001	0.001	1
GDF7	0.001	0.001	0.001	0.001	0.001	1
GDF9	0.001	0.001	0.001	0.001	0.001	1
GDNF	0.001	0.001	0.001	0.001	0.001	1
GH1	0.001	0.001	0.001	0.001	0.001	1
GH2	0.001	0.001	0.001	0.001	0.001	1
HBEGF	0.001	0.001	0.001	0.001	0.001	1
HCFC1	0.001	0.001	0.001	0.001	0.001	1
HCFC2	0.001	0.001	0.001	0.001	0.001	1
HGF	0.001	0.001	0.001	0.001	0.001	1
HGFAC	0.001	0.001	0.001	0.001	0.001	1
HHIP	0.001	0.001	0.001	0.001	0.001	1
HRNR	0.001	0.001	0.001	0.001	0.001	1
IFNA1	0.001	0.001	0.001	0.001	0.001	1
IFNA10	0.001	0.001	0.001	0.001	0.001	1
IFNA13	0.001	0.001	0.001	0.001	0.001	1
IFNA14	0.001	0.001	0.001	0.001	0.001	1
IFNA16	0.001	0.001	0.001	0.001	0.001	1
IFNA17	0.001	0.001	0.001	0.001	0.001	1
IFNA2	0.001	0.001	0.001	0.001	0.001	1
IFNA21	0.001	0.001	0.001	0.001	0.001	1
IFNA4	0.001	0.001	0.001	0.001	0.001	1
IFNA5	0.001	0.001	0.001	0.001	0.001	1
IFNA6	0.001	0.001	0.001	0.001	0.001	1
IFNA7	0.001	0.001	0.001	0.001	0.001	1
IFNA8	0.001	0.001	0.001	0.001	0.001	1
IFNB1	0.001	0.001	0.001	0.001	0.001	1
IFNE	0.001	0.001	0.001	0.001	0.001	1
IFNG	0.001	0.001	0.001	0.001	0.001	1
IFNK	0.001	0.001	0.001	0.001	0.001	1
IFNW1	0.001	0.001	0.001	0.001	0.001	1
IGF1	0.001	0.001	0.001	0.001	0.001	1
IGF2	0.001	0.001	0.001	0.001	0.001	1
IHH	0.001	0.001	0.001	0.001	0.001	1
IL10	0.001	0.001	0.001	0.001	0.001	1
IL11	0.001	0.001	0.001	0.001	0.001	1
IL12A	0.001	0.001	0.001	0.001	0.001	1
IL12B	0.001	0.001	0.001	0.001	0.001	1
IL13	0.001	0.001	0.001	0.001	0.001	1
IL15	0.001	0.001	0.001	0.001	0.001	1
IL16	0.001	0.001	0.001	0.001	0.001	1
IL17A	0.001	0.001	0.001	0.001	0.001	1
IL17B	0.001	0.001	0.001	0.001	0.001	1
IL17C	0.001	0.001	0.001	0.001	0.001	1
IL17D	0.001	0.001	0.001	0.001	0.001	1
IL17F	0.001	0.001	0.001	0.001	0.001	1
IL18	0.001	0.001	0.001	0.001	0.001	1
IL19	0.001	0.001	0.001	0.001	0.001	1
IL1A	0.001	0.001	0.001	0.001	0.001	1
IL1B	0.001	0.001	0.001	0.001	0.001	1
IL1F10	0.001	0.001	0.001	0.001	0.001	1
IL1F5	0.001	0.001	0.001	0.001	0.001	1
IL1F6	0.001	0.001	0.001	0.001	0.001	1
IL1F7	0.001	0.001	0.001	0.001	0.001	1
IL1F8	0.001	0.001	0.001	0.001	0.001	1
IL1F9	0.001	0.001	0.001	0.001	0.001	1
IL1RN	0.001	0.001	0.001	0.001	0.001	1
IL2	0.001	0.001	0.001	0.001	0.001	1
IL20	0.001	0.001	0.001	0.001	0.001	1
IL22	0.001	0.001	0.001	0.001	0.001	1
IL23A	0.001	0.001	0.001	0.001	0.001	1
IL24	0.001	0.001	0.001	0.001	0.001	1
IL25	0.001	0.001	0.001	0.001	0.001	1
IL26	0.001	0.001	0.001	0.001	0.001	1
IL3	0.001	0.001	0.001	0.001	0.001	1
IL34	0.001	0.001	0.001	0.001	0.001	1
IL4	0.001	0.001	0.001	0.001	0.001	1
IL5	0.001	0.001	0.001	0.001	0.001	1
IL6	0.001	0.001	0.001	0.001	0.001	1
IL7	0.001	0.001	0.001	0.001	0.001	1
IL9	0.001	0.001	0.001	0.001	0.001	1
INHA	0.001	0.001	0.001	0.001	0.001	1
INHBA	0.001	0.001	0.001	0.001	0.001	1
INHBB	0.001	0.001	0.001	0.001	0.001	1
INHBC	0.001	0.001	0.001	0.001	0.001	1
INHBE	0.001	0.001	0.001	0.001	0.001	1
INS	0.001	0.001	0.001	0.001	0.001	1
INS-IGF2	0.001	0.001	0.001	0.001	0.001	1
INSL3	0.001	0.001	0.001	0.001	0.001	1
INSL5	0.001	0.001	0.001	0.001	0.001	1
INSL6	0.001	0.001	0.001	0.001	0.001	1
ISM1	0.001	0.001	0.001	0.001	0.001	1
ISM2	0.001	0.001	0.001	0.001	0.001	1
KITLG	0.001	0.001	0.001	0.001	0.001	1
LEFTY1	0.001	0.001	0.001	0.001	0.001	1
LEFTY2	0.001	0.001	0.001	0.001	0.001	1
LEP	0.001	0.001	0.001	0.001	0.001	1
LIF	0.001	0.001	0.001	0.001	0.001	1
LTA	0.001	0.001	0.001	0.001	0.001	1
LTB	0.001	0.001	0.001	0.001	0.001	1
MDK	0.001	0.001	0.001	0.001	0.001	1
MEGF10	0.001	0.001	0.001	0.001	0.001	1
MEGF11	0.001	0.001	0.001	0.001	0.001	1
MEGF6	0.001	0.001	0.001	0.001	0.001	1
MEGF8	0.001	0.001	0.001	0.001	0.001	1
MEGF9	0.001	0.001	0.001	0.001	0.001	1
MST1	0.001	0.001	0.001	0.001	0.001	1
MST1L	0.001	0.001	0.001	0.001	0.001	1
MSTN	0.001	0.001	0.001	0.001	0.001	1
NGF	0.001	0.001	0.001	0.001	0.001	1
NODAL	0.001	0.001	0.001	0.001	0.001	1
NRG1	0.001	0.001	0.001	0.001	0.001	1
NRG2	0.001	0.001	0.001	0.001	0.001	1
NRG3	0.001	0.001	0.001	0.001	0.001	1
NRG4	0.001	0.001	0.001	0.001	0.001	1
NRTN	0.001	0.001	0.001	0.001	0.001	1
NTF3	0.001	0.001	0.001	0.001	0.001	1
NTF4	0.001	0.001	0.001	0.001	0.001	1
OSM	0.001	0.001	0.001	0.001	0.001	1
PDGFA	0.001	0.001	0.001	0.001	0.001	1
PDGFB	0.001	0.001	0.001	0.001	0.001	1
PDGFC	0.001	0.001	0.001	0.001	0.001	1
PDGFD	0.001	0.001	0.001	0.001	0.001	1
PF4	0.001	0.001	0.001	0.001	0.001	1
PF4V1	0.001	0.001	0.001	0.001	0.001	1
PGF	0.001	0.001	0.001	0.001	0.001	1
PIK3IP1	0.001	0.001	0.001	0.001	0.001	1
PPBP	0.001	0.001	0.001	0.001	0.001	1
PRL	0.001	0.001	0.001	0.001	0.001	1
PSPN	0.001	0.001	0.001	0.001	0.001	1
PTN	0.001	0.001	0.001	0.001	0.001	1
RPTN	0.001	0.001	0.001	0.001	0.001	1
S100A1	0.001	0.001	0.001	0.001	0.001	1
S100A10	0.001	0.001	0.001	0.001	0.001	1
S100A11	0.001	0.001	0.001	0.001	0.001	1
S100A12	0.001	0.001	0.001	0.001	0.001	1
S100A13	0.001	0.001	0.001	0.001	0.001	1
S100A14	0.001	0.001	0.001	0.001	0.001	1
S100A16	0.001	0.001	0.001	0.001	0.001	1
S100A2	0.001	0.001	0.001	0.001	0.001	1
S100A3	0.001	0.001	0.001	0.001	0.001	1
S100A4	0.001	0.001	0.001	0.001	0.001	1
S100A5	0.001	0.001	0.001	0.001	0.001	1
S100A6	0.001	0.001	0.001	0.001	0.001	1
S100A7	0.001	0.001	0.001	0.001	0.001	1
S100A7A	0.001	0.001	0.001	0.001	0.001	1
S100A7L2	0.001	0.001	0.001	0.001	0.001	1
S100A8	0.001	0.001	0.001	0.001	0.001	1
S100A9	0.001	0.001	0.001	0.001	0.001	1
S100B	0.001	0.001	0.001	0.001	0.001	1
S100G	0.001	0.001	0.001	0.001	0.001	1
S100P	0.001	0.001	0.001	0.001	0.001	1
S100Z	0.001	0.001	0.001	0.001	0.001	1
SCUBE1	0.001	0.001	0.001	0.001	0.001	1
SCUBE2	0.001	0.001	0.001	0.001	0.001	1
SCUBE3	0.001	0.001	0.001	0.001	0.001	1
SFRP1	0.001	0.001	0.001	0.001	0.001	1
SFRP2	0.001	0.001	0.001	0.001	0.001	1
SFRP4	0.001	0.001	0.001	0.001	0.001	1
SFRP5	0.001	0.001	0.001	0.001	0.001	1
SHH	0.001	0.001	0.001	0.001	0.001	1
TCHH	0.001	0.001	0.001	0.001	0.001	1
TCHHL1	0.001	0.001	0.001	0.001	0.001	1
TDGF1	0.001	0.001	0.001	0.001	0.001	1
TGFA	0.001	0.001	0.001	0.001	0.001	1
TGFB1	0.001	0.001	0.001	0.001	0.001	1
TGFB2	0.001	0.001	0.001	0.001	0.001	1
TGFB3	0.001	0.001	0.001	0.001	0.001	1
THPO	0.001	0.001	0.001	0.001	0.001	1
TNF	0.001	0.001	0.001	0.001	0.001	1
TNFSF10	0.001	0.001	0.001	0.001	0.001	1
TNFSF11	0.001	0.001	0.001	0.001	0.001	1
TNFSF12	0.001	0.001	0.001	0.001	0.001	1
TNFSF13	0.001	0.001	0.001	0.001	0.001	1
TNFSF13B	0.001	0.001	0.001	0.001	0.001	1
TNFSF14	0.001	0.001	0.001	0.001	0.001	1
TNFSF15	0.001	0.001	0.001	0.001	0.001	1
TNFSF18	0.001	0.001	0.001	0.001	0.001	1
TNFSF4	0.001	0.001	0.001	0.001	0.001	1
TNFSF8	0.001	0.001	0.001	0.001	0.001	1
TNFSF9	0.001	0.001	0.001	0.001	0.001	1
TPO	0.001	0.001	0.001	0.001	0.001	1
VEGFA	0.001	0.001	0.001	0.001	0.001	1
VEGFB	0.001	0.001	0.001	0.001	0.001	1
VEGFC	0.001	0.001	0.001	0.001	0.001	1
VWC2	0.001	0.001	0.001	0.001	0.001	1
VWC2L	0.001	0.001	0.001	0.001	0.001	1
WFIKKN1	0.001	0.001	0.001	0.001	0.001	1
WFIKKN2	0.001	0.001	0.001	0.001	0.001	1
